Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A771880,,05/11/2018 01:56:00 PM,05/11/2018 01:56:00 PM,4112 Links Ln in Travis (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A701453,Tigger,04/30/2015 10:57:00 AM,04/30/2015 10:57:00 AM,1601 E Slaughter Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Harrier Mix,Brown Brindle/White
A679376,Arya,05/20/2014 10:56:00 AM,05/20/2014 10:56:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Staffordshire,Black/White
A669139,*Ciara,12/15/2013 03:59:00 PM,12/15/2013 03:59:00 PM,4313 S 1St St in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A664869,*Ollie,10/10/2013 11:00:00 AM,10/10/2013 11:00:00 AM,"Round Mtn & Bingham Cr Rd, Leander in Austin (TX)",Stray,Normal,Dog,Intact Male,3 years,Australian Cattle Dog Mix,Red/White
A690254,Bane,10/16/2014 07:08:00 PM,10/16/2014 07:08:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Siberian Husky Mix,Gray/White
A717112,Fred,10/18/2017 02:36:00 PM,10/18/2017 02:36:00 PM,Pflugerville (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown
A678814,*Belle,05/13/2014 11:05:00 AM,05/13/2014 11:05:00 AM,14811 Bescott in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A732234,,08/04/2016 02:46:00 PM,08/04/2016 02:46:00 PM,Hays (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Manx Mix,Blue Tabby
A694714,*Remy,01/02/2015 06:23:00 PM,01/02/2015 06:23:00 PM,Austin (TX),Owner Surrender,Injured,Dog,Neutered Male,3 years,Shetland Sheepdog/Border Collie,Black/White
